,name,party,state,thomas_id,bioguide_id,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,first_congress,last_congress,gaps,num_congress_periods,93_signatures_received,93_signatures_given,94_signatures_received,94_signatures_given,95_signatures_received,95_signatures_given,96_signatures_received,96_signatures_given,97_signatures_received,97_signatures_given,98_signatures_received,98_signatures_given,99_signatures_received,99_signatures_given,100_signatures_received,100_signatures_given,101_signatures_received,101_signatures_given,102_signatures_received,102_signatures_given,103_signatures_received,103_signatures_given,104_signatures_received,104_signatures_given,105_signatures_received,105_signatures_given,106_signatures_received,106_signatures_given,107_signatures_received,107_signatures_given,108_signatures_received,108_signatures_given,109_signatures_received,109_signatures_given,110_signatures_received,110_signatures_given,111_signatures_received,111_signatures_given,112_signatures_received,112_signatures_given,113_signatures_received,113_signatures_given,114_signatures_received,114_signatures_given,115_signatures_received,115_signatures_given,AMOUNT,AMOUNT_normalized,115_signatures_received_normalized,115_signatures_given_normalized,in_congress_last_five_periods,importance,supported_D,supported_R,supported_OTHER
31,"Ashley, Thomas L.",Democrat,OH,32.0,A000222,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,72.0,125.0,246.0,89.0,110.0,93.0,99.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
32,"Aspin, Les",Democrat,WI,33.0,A000224,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,93,102,False,10,346.0,148.0,150.0,95.0,169.0,35.0,81.0,52.0,168.0,94.0,209.0,168.0,155.0,147.0,9.0,154.0,542.0,156.0,264.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
33,"Atkins, Chester G.",Democrat,MA,34.0,A000226,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,99,102,False,4,,,,,,,,,,,,,163.0,293.0,443.0,887.0,341.0,895.0,339.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
34,"Atkinson, Eugene V.",Democrat,PA,35.0,A000329,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96,97,False,2,,,,,,,94.0,115.0,50.0,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
35,"AuCoin, Les",Democrat,OR,36.0,A000337,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,94,102,False,9,,,24.0,165.0,183.0,250.0,252.0,218.0,134.0,275.0,886.0,219.0,733.0,212.0,300.0,248.0,162.0,464.0,206.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
36,"Bacchus, Jim",Democrat,FL,37.0,B000008,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,102,103,False,2,,,,,,,,,,,,,,,,,,,23.0,468.0,339.0,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
37,"Bachus, Spencer",Republican,AL,38.0,B000013,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,103,113,False,11,,,,,,,,,,,,,,,,,,,,,136.0,306.0,76.0,224.0,193.0,286.0,210.0,290.0,137.0,210.0,457.0,236.0,513.0,304.0,99.0,265.0,112.0,285.0,101.0,258.0,103.0,231.0,,,,,,,,,0.75,,0,0,0
38,"Badham, Robert E.",Republican,CA,39.0,B000024,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,95,100,False,6,,,,,5.0,202.0,48.0,211.0,375.0,187.0,326.0,280.0,169.0,293.0,53.0,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
39,"Badillo, Herman",Democrat,NY,40.0,B000025,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,95,False,3,225.0,430.0,99.0,624.0,39.0,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
40,"Baesler, Scotty",Democrat,KY,41.0,B000028,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,103,105,False,3,,,,,,,,,,,,,,,,,,,,,0.0,168.0,3.0,67.0,86.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
41,"Bafalis, L. A. (Skip)",Republican,FL,42.0,B000029,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,97,False,5,212.0,194.0,39.0,129.0,259.0,151.0,126.0,186.0,205.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
42,"Bailey, Donald A.",Democrat,PA,43.0,B000037,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96,97,False,2,,,,,,,46.0,185.0,127.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
43,"Bailey, Wendell",Republican,MO,44.0,B000047,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,97,97,False,1,,,,,,,,,11.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
44,"Baker, Bill",Republican,CA,45.0,B000078,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,103,104,False,2,,,,,,,,,,,,,,,,,,,,,136.0,341.0,182.0,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
45,"Baker, LaMar",Republican,TN,46.0,B000069,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,93,False,1,207.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
46,"Baker, Richard H.",Republican,LA,47.0,B000072,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,100,110,False,11,,,,,,,,,,,,,,,74.0,182.0,36.0,251.0,195.0,247.0,155.0,384.0,130.0,304.0,95.0,200.0,200.0,272.0,91.0,201.0,364.0,236.0,220.0,237.0,39.0,156.0,,,,,,,,,,,,,,,0.0,,0,0,0
47,"Baldacci, John Elias",Democrat,ME,48.0,B000081,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,104,107,False,4,,,,,,,,,,,,,,,,,,,,,,,26.0,128.0,45.0,264.0,82.0,405.0,35.0,530.0,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
48,"Baldus, Alvin J.",Democrat,WI,49.0,B000083,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,96,False,3,,,144.0,137.0,188.0,196.0,80.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
49,"Ballenger, Cass",Republican,NC,50.0,B000104,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,100,108,False,9,,,,,,,,,,,,,,,0.0,273.0,105.0,295.0,327.0,377.0,228.0,373.0,446.0,179.0,310.0,179.0,212.0,183.0,194.0,192.0,74.0,206.0,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
50,"Barca, Peter",Democrat,WI,51.0,B001226,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,103,103,False,1,,,,,,,,,,,,,,,,,,,,,87.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
51,"Barcia, James A.",Democrat,MI,52.0,B000134,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,103,107,False,5,,,,,,,,,,,,,,,,,,,,,107.0,209.0,32.0,161.0,136.0,261.0,133.0,299.0,152.0,252.0,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
52,"Barlow, Tom",Democrat,KY,53.0,B000151,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,103,103,False,1,,,,,,,,,,,,,,,,,,,,,15.0,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
53,"Barnard, Doug, Jr.",Democrat,GA,54.0,B000153,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,95,102,False,8,,,,,19.0,105.0,113.0,166.0,23.0,334.0,94.0,321.0,118.0,303.0,167.0,333.0,53.0,323.0,448.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
54,"Barnes, Michael D.",Democrat,MD,55.0,B000160,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,96,99,False,4,,,,,,,100.0,266.0,649.0,410.0,897.0,619.0,402.0,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
55,"Barr, Bob",Republican,GA,56.0,B000169,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,104,107,False,4,,,,,,,,,,,,,,,,,,,,,,,318.0,167.0,485.0,192.0,385.0,240.0,336.0,269.0,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
56,"Barrett, Bill",Republican,NE,57.0,B000179,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,102,106,False,5,,,,,,,,,,,,,,,,,,,10.0,141.0,37.0,179.0,71.0,143.0,23.0,185.0,56.0,201.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
57,"Barrett, Thomas M.",Democrat,WI,58.0,B000177,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,103,107,False,5,,,,,,,,,,,,,,,,,,,,,449.0,346.0,121.0,268.0,58.0,366.0,145.0,427.0,202.0,280.0,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
58,"Barrett, William A.",Democrat,PA,59.0,B000178,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,94,False,2,63.0,51.0,77.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
59,"Bartlett, Roscoe G.",Republican,MD,60.0,B000208,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,103,112,False,10,,,,,,,,,,,,,,,,,,,,,229.0,356.0,327.0,260.0,381.0,221.0,269.0,263.0,193.0,288.0,349.0,349.0,369.0,357.0,503.0,487.0,62.0,533.0,286.0,318.0,,,,,,,,,,,0.5,,0,0,0
60,"Bartlett, Steve",Republican,TX,61.0,B000204,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,98,102,False,5,,,,,,,,,,,8.0,187.0,223.0,198.0,92.0,196.0,332.0,211.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
61,"Barton, Joe",Republican,TX,62.0,B000213,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,99,115,False,17,,,,,,,,,,,,,147.0,306.0,271.0,175.0,310.0,163.0,214.0,145.0,145.0,175.0,924.0,189.0,886.0,171.0,265.0,153.0,79.0,134.0,144.0,150.0,307.0,78.0,403.0,172.0,229.0,200.0,139.0,174.0,182.0,168.0,401.0,137.0,287.0,121.0,7618697.430000001,0.4430919585744216,0.1699230313795145,0.08660844250363901,1.0,0.7215459792872108,17,86,0
62,"Bass, Charles F.",Republican,NH,63.0,B000220,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,104,112,False,7,,,,,,,,,,,,,,,,,,,,,,,91.0,90.0,487.0,88.0,392.0,157.0,235.0,126.0,82.0,131.0,229.0,206.0,,,,,193.0,114.0,,,,,,,,,,,0.25,,0,0,0
63,"Bateman, Herbert H.",Republican,VA,64.0,B000229,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,98,106,False,9,,,,,,,,,,,474.0,299.0,108.0,355.0,39.0,341.0,28.0,288.0,30.0,350.0,144.0,359.0,63.0,91.0,68.0,109.0,60.0,102.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
64,"Bates, Jim",Democrat,CA,65.0,B000236,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,98,101,False,4,,,,,,,,,,,319.0,457.0,320.0,345.0,455.0,486.0,748.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
65,"Baucus, Max",Democrat,MT,66.0,B000243,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,95,False,2,,,327.0,229.0,411.0,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
66,"Bauman, Robert E.",Republican,MD,67.0,B000244,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,96,False,4,47.0,58.0,58.0,89.0,42.0,128.0,241.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
67,"Beard, Edward",Democrat,RI,68.0,B000279,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,96,False,3,,,125.0,383.0,31.0,232.0,62.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
68,"Beard, Robin",Republican,TN,69.0,B000280,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,97,False,5,41.0,57.0,173.0,81.0,141.0,90.0,306.0,115.0,223.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
69,"Becerra, Xavier",Democrat,CA,70.0,B000287,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,103,115,False,13,,,,,,,,,,,,,,,,,,,,,60.0,187.0,27.0,60.0,14.0,103.0,32.0,209.0,156.0,232.0,192.0,224.0,279.0,234.0,650.0,251.0,295.0,124.0,33.0,102.0,22.0,86.0,168.0,141.0,0.0,2.0,1206054.5400000003,0.06504767002188666,0.0,0.0,1.0,0.5325238350109434,2,0,0
70,"Bedell, Berkley W.",Democrat,IA,71.0,B000298,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,99,False,6,,,299.0,286.0,474.0,464.0,562.0,459.0,603.0,499.0,417.0,544.0,321.0,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
71,"Beilenson, Anthony C.",Democrat,CA,72.0,B000318,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,95,104,False,10,,,,,185.0,156.0,136.0,171.0,87.0,263.0,92.0,309.0,105.0,257.0,211.0,258.0,94.0,263.0,9.0,303.0,359.0,265.0,16.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,0,0
